latitude,longitude,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed
12.87,77.68000000000012,3.6525109019123244e-05,903.0,0.0,908.8447875976562,20.55000114440918,277.0,190.0
12.87,77.69000000000013,3.477527336242846e-05,912.0,0.0,1085.8369140625,24.157499313354492,277.0,190.0
12.87,77.70000000000013,3.477527336242846e-05,902.0,0.0,1055.6744384765625,19.707500457763672,277.0,190.0
12.87,77.71000000000014,3.393583424422064e-05,889.0,0.0,1085.8369140625,12.559999465942383,277.0,180.0
12.87,77.72000000000014,3.281498602466096e-05,897.0,0.0,1085.8367919921875,8.017499923706055,277.0,180.0
12.87,77.73000000000015,3.180237442253547e-05,907.0,0.0,976.2962036132812,7.425000190734863,277.0,180.0
12.87,77.74000000000015,2.99824062879946e-05,908.0,0.0,1083.5018310546875,6.177499771118164,277.0,180.0
12.87,77.75000000000016,3.074025738867686e-05,894.0,0.0,1085.8367919921875,6.175000190734863,277.0,170.0
12.87,77.76000000000016,3.0856509999118956e-05,892.0,0.0,1085.8369140625,10.3774995803833,277.0,170.0
12.87,77.77000000000017,3.14943131032703e-05,879.0,0.0,1085.8369140625,19.774999618530273,277.0,170.0
12.87,77.78000000000017,3.097834574694914e-05,876.0,0.0,1085.8370361328125,16.267499923706055,277.0,170.0
12.87,77.79000000000018,3.097834574694914e-05,866.0,0.0,1085.8367919921875,12.822500228881836,277.0,170.0
12.879999999999999,77.45,7.799053601805033e-05,759.0,0.0,441.292236328125,19.274999618530273,287.0,190.0
12.879999999999999,77.46000000000001,8.083190914806597e-05,783.0,0.0,441.292236328125,14.842499732971191,287.0,190.0
12.879999999999999,77.47000000000001,8.087513045963561e-05,765.0,0.0,441.2922668457031,14.947500228881836,286.0,190.0
12.879999999999999,77.48000000000002,8.072170582477191e-05,789.0,0.0,441.292236328125,28.435001373291016,286.0,190.0
12.879999999999999,77.49000000000002,7.957937083775356e-05,796.0,0.0,441.29229736328125,26.994998931884766,286.0,190.0
12.879999999999999,77.50000000000003,7.791161053587317e-05,813.0,0.0,441.2922058105469,27.700000762939453,284.0,190.0
12.879999999999999,77.51000000000003,7.613895999001631e-05,838.0,0.0,441.29229736328125,29.192501068115234,284.0,190.0
12.879999999999999,77.52000000000004,7.67186819134243e-05,875.0,0.0,441.292236328125,25.94499969482422,284.0,190.0
12.879999999999999,77.53000000000004,7.67186819134243e-05,899.0,0.0,441.29229736328125,15.765000343322754,284.0,190.0
12.879999999999999,77.54000000000005,7.568645059126294e-05,880.0,0.0,441.292236328125,48.92250061035156,284.0,190.0
12.879999999999999,77.55000000000005,7.509784152469168e-05,879.0,0.0,441.29229736328125,60.81500244140625,282.0,190.0
12.879999999999999,77.56000000000006,7.169793942979422e-05,887.0,0.0,441.2922058105469,49.334999084472656,282.0,190.0
12.879999999999999,77.57000000000006,6.95529645744726e-05,918.0,0.0,441.292236328125,69.65499877929688,282.0,190.0
12.879999999999999,77.58000000000007,6.722199459681331e-05,916.0,0.0,441.29229736328125,61.037498474121094,282.0,190.0
12.879999999999999,77.59000000000007,6.606105719832824e-05,922.0,0.0,441.2922668457031,44.76000213623047,279.0,190.0
12.879999999999999,77.60000000000008,6.499572319645167e-05,913.0,0.0,441.2922058105469,61.60749816894531,279.0,190.0
12.879999999999999,77.61000000000008,6.499572319645167e-05,895.0,0.0,441.29229736328125,65.87249755859375,279.0,190.0
12.879999999999999,77.62000000000009,6.440437701037625e-05,916.0,0.0,441.292236328125,64.14500427246094,279.0,190.0
12.879999999999999,77.6300000000001,6.237056051855323e-05,891.0,0.0,358.1806945800781,63.0,279.0,190.0
12.879999999999999,77.6400000000001,5.8043452715695945e-05,900.0,0.0,459.0923767089844,51.23500061035156,279.0,190.0
12.879999999999999,77.6500000000001,5.454740666420888e-05,912.0,0.0,689.4178466796875,56.165000915527344,279.0,190.0
12.879999999999999,77.66000000000011,4.910135497149669e-05,910.0,0.0,541.1932983398438,39.275001525878906,279.0,190.0
12.879999999999999,77.67000000000012,4.37419169288323e-05,913.0,0.0,957.718994140625,38.0525016784668,277.0,190.0
12.879999999999999,77.68000000000012,3.784283273163491e-05,908.0,0.0,1085.801025390625,15.094999313354492,277.0,190.0
12.879999999999999,77.69000000000013,3.568176388668659e-05,907.0,0.0,685.718017578125,14.867500305175781,277.0,190.0
