latitude,longitude,UTMX,UTMY,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed
12.879999999999999,77.58000000000007,779998,1425271,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
12.879999999999999,77.59000000000007,781084,1425282,8.351393966584553e-05,914,91.83333333333333,311.16757,35.514374,299.9166666666667,189.16666666666666
12.879999999999999,77.60000000000008,782170,1425293,8.351393966584553e-05,914,91.83333333333333,311.16757,35.514374,299.9166666666667,189.16666666666666
12.879999999999999,77.61000000000008,783256,1425304,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.879999999999999,77.62000000000009,784342,1425315,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.879999999999999,77.6300000000001,785428,1425326,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.879999999999999,77.6400000000001,786514,1425338,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.879999999999999,77.6500000000001,787600,1425349,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.879999999999999,77.66000000000011,788686,1425360,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.879999999999999,77.67000000000012,789772,1425371,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.879999999999999,77.68000000000012,790858,1425383,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.879999999999999,77.69000000000013,791944,1425394,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.879999999999999,77.70000000000013,793030,1425405,7.155937566051346e-05,902,91.83333333333333,765.62866,20.634323,298.8333333333333,181.66666666666666
12.879999999999999,77.71000000000014,794116,1425417,7.155937566051346e-05,902,91.83333333333333,765.62866,20.634323,298.8333333333333,181.66666666666666
12.879999999999999,77.72000000000014,795202,1425428,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
12.879999999999999,77.73000000000015,796288,1425440,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
12.879999999999999,77.74000000000015,797374,1425451,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
12.879999999999999,77.75000000000016,798460,1425463,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.879999999999999,77.76000000000016,799546,1425475,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.879999999999999,77.77000000000017,800632,1425486,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.879999999999999,77.78000000000017,801719,1425498,6.526463326924476e-05,861,90.0,449.82236,3.8461459,299.5,184.16666666666666
12.879999999999999,77.79000000000018,802805,1425510,6.526463326924476e-05,861,90.0,449.82236,3.8461459,299.5,184.16666666666666
12.889999999999999,77.45,765871,1426240,7.638315629089698e-05,828,88.41666666666667,311.16754,12.6076565,305.0833333333333,192.5
12.889999999999999,77.46000000000001,766957,1426250,7.638315629089698e-05,828,88.41666666666667,311.16754,12.6076565,305.0833333333333,192.5
12.889999999999999,77.47000000000001,768043,1426261,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.889999999999999,77.48000000000002,769129,1426271,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.889999999999999,77.49000000000002,770215,1426282,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.889999999999999,77.50000000000003,771300,1426292,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.889999999999999,77.51000000000003,772386,1426303,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.889999999999999,77.52000000000004,773472,1426314,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.889999999999999,77.53000000000004,774558,1426324,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.889999999999999,77.54000000000005,775644,1426335,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.889999999999999,77.55000000000005,776730,1426346,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.889999999999999,77.56000000000006,777815,1426357,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
12.889999999999999,77.57000000000006,778901,1426367,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
12.889999999999999,77.58000000000007,779987,1426378,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
12.889999999999999,77.59000000000007,781073,1426389,8.351393966584553e-05,914,91.83333333333333,311.16757,35.514374,299.9166666666667,189.16666666666666
12.889999999999999,77.60000000000008,782159,1426400,8.351393966584553e-05,914,91.83333333333333,311.16757,35.514374,299.9166666666667,189.16666666666666
12.889999999999999,77.61000000000008,783245,1426411,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.889999999999999,77.62000000000009,784331,1426422,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.889999999999999,77.6300000000001,785417,1426433,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.889999999999999,77.6400000000001,786503,1426445,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.889999999999999,77.6500000000001,787589,1426456,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.889999999999999,77.66000000000011,788675,1426467,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.889999999999999,77.67000000000012,789761,1426478,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.889999999999999,77.68000000000012,790846,1426490,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.889999999999999,77.69000000000013,791932,1426501,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.889999999999999,77.70000000000013,793018,1426512,7.155937566051346e-05,902,91.83333333333333,765.62866,20.634323,298.8333333333333,181.66666666666666
12.889999999999999,77.71000000000014,794104,1426524,7.155937566051346e-05,902,91.83333333333333,765.62866,20.634323,298.8333333333333,181.66666666666666
12.889999999999999,77.72000000000014,795190,1426535,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
12.889999999999999,77.73000000000015,796276,1426547,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
12.889999999999999,77.74000000000015,797362,1426558,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
12.889999999999999,77.75000000000016,798448,1426570,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.889999999999999,77.76000000000016,799534,1426582,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.889999999999999,77.77000000000017,800620,1426593,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.889999999999999,77.78000000000017,801707,1426605,6.526463326924476e-05,861,90.0,449.82236,3.8461459,299.5,184.16666666666666
12.889999999999999,77.79000000000018,802793,1426617,6.526463326924476e-05,861,90.0,449.82236,3.8461459,299.5,184.16666666666666
12.899999999999999,77.45,765861,1427347,7.638315629089698e-05,828,88.41666666666667,311.16754,12.6076565,305.0833333333333,192.5
12.899999999999999,77.46000000000001,766947,1427357,7.638315629089698e-05,828,88.41666666666667,311.16754,12.6076565,305.0833333333333,192.5
12.899999999999999,77.47000000000001,768032,1427368,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.899999999999999,77.48000000000002,769118,1427378,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.899999999999999,77.49000000000002,770204,1427389,7.860138854879182e-05,876,89.75,311.16757,21.30974,305.0,190.83333333333334
12.899999999999999,77.50000000000003,771290,1427399,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.899999999999999,77.51000000000003,772375,1427410,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.899999999999999,77.52000000000004,773461,1427420,8.02009461664868e-05,901,90.75,311.1675,17.241302,302.75,191.66666666666666
12.899999999999999,77.53000000000004,774547,1427431,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.899999999999999,77.54000000000005,775633,1427442,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.899999999999999,77.55000000000005,776719,1427453,8.24348012026623e-05,929,90.75,311.16757,36.323387,302.75,191.66666666666666
12.899999999999999,77.56000000000006,777804,1427463,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
12.899999999999999,77.57000000000006,778890,1427474,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
12.899999999999999,77.58000000000007,779976,1427485,8.399459881999181e-05,912,91.75,311.16754,49.629375,300.8333333333333,194.16666666666666
12.899999999999999,77.59000000000007,781062,1427496,8.351393966584553e-05,914,91.83333333333333,311.16757,35.514374,299.9166666666667,189.16666666666666
12.899999999999999,77.60000000000008,782148,1427507,8.351393966584553e-05,914,91.83333333333333,311.16757,35.514374,299.9166666666667,189.16666666666666
12.899999999999999,77.61000000000008,783234,1427518,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.899999999999999,77.62000000000009,784320,1427529,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.899999999999999,77.6300000000001,785405,1427540,8.139535619700084e-05,917,91.83333333333333,364.07993,50.130833,299.9166666666667,189.16666666666666
12.899999999999999,77.6400000000001,786491,1427551,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.899999999999999,77.6500000000001,787577,1427563,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.899999999999999,77.66000000000011,788663,1427574,7.90131009970456e-05,908,91.5,728.09174,29.625572,300.0,190.0
12.899999999999999,77.67000000000012,789749,1427585,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.899999999999999,77.68000000000012,790835,1427596,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.899999999999999,77.69000000000013,791921,1427608,7.672090670668068e-05,900,91.83333333333333,765.097,21.31474,298.8333333333333,181.66666666666666
12.899999999999999,77.70000000000013,793007,1427619,7.155937566051346e-05,902,91.83333333333333,765.62866,20.634323,298.8333333333333,181.66666666666666
12.899999999999999,77.71000000000014,794093,1427631,7.155937566051346e-05,902,91.83333333333333,765.62866,20.634323,298.8333333333333,181.66666666666666
12.899999999999999,77.72000000000014,795179,1427642,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
12.899999999999999,77.73000000000015,796265,1427654,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
12.899999999999999,77.74000000000015,797351,1427665,6.9871816259062e-05,872,91.0,765.6287,7.6427083,298.5,182.5
